#20 VOA ICF/MR|VOA20|1000 CHURCH STREET|HUNTSVILLE|35805||34.74334|-86.596032|638.41|NURSING HOME|MADISON||
#40 VOA ICF/MR|VOA40|1557 HIGHWAY 31 NORTHWEST|HARTSELLE|35640||34.460862|-86.948515|722.09|NURSING HOME|MORGAN||
ABBEVILLE FIRE & RESCUE|ABFR|201 BRADLEY ST|ABBEVILLE|36310||31.570942|-85.247838|448.01|EMS|HENRY||
ADAMS NURSING HOME|ANH|1555 HILLABEE STREET|ALEXANDER CITY|35010||32.9452|-85.934011|742.17|NURSING HOME|TALLAPOOSA||
ADAMSVILLE FIRE & RESCUE SERVICE|AFRS|4915 RAILROAD AVE|ADAMSVILLE|35005||33.600152|-86.954793|589.36|EMS|JEFFERSON||
ADGER VOLUNTEER FIRE & RESCUE|AVFR|7276 JOHNS RD|ADGER|35006||33.380793|-87.086655|459.29|EMS|JEFFERSON||
ADVANCED EMS INC.|AEI||ANDALUSIA|36420||0|0|-1|EMS|COVINGTON||
AIELLO/BUSKEY MEDICAL CENTER|A/B|424 SOUTH WILSON AVENUE|PRICHARD|36610|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|MOBILE||0
ALABAMA DIALYSIS SERVICES HAMILTON|ADSH|1256 MILITARY ST S|HAMILTON|35570||34.134284|-87.990447|-1|DIALYSIS CENTER|MARION||
ALABAMA DIALYSIS SERVICES PELL CITY|ADSPC|2804 DR. JOHN HAYNES DRIVE|PELL CITY|35125||33.604322|-86.278431|-1|DIALYSIS CENTER|ST. CLAIR||
ALABAMA DIALYSIS SERVICES SOUTHSIDE|ADSS|2131 MAGNOLIA AVE. S.|BIRMINGHAM|35205||33.502708|-86.794888|-1|DIALYSIS CENTER|JEFFERSON||
ALABAMA HEALTH CENTER|BHC-A|1210 3RD AVENUE SOUTH|BIRMINGHAM|35233|000-000-0000|0|0|0|COMMUNITY HEALTH CENTERS|JEFFERSON||0
ALABAMA PRIMARY HEALTH CARE ASSOCIATION|APHCA|1345 Carmichael Way|MONTGOMERY|36106|334-271-7068|32.3567347|-86.2394059|300|COMMUNITY HEALTH CENTERS|MONTGOMERY||
